公司名稱,公司代號,營業收入(百萬元),毛利率(%),營業利益率(%),稅前純益率(%),稅後純益率(%)
興富發,2542,"17,226.03",30.07,17.97,14.53,12.47
皇翔,2545,"1,966.80",30.88,6.34,-6.28,-7.96
日勝生,2547,"4,649.60",49.40,17.57,15.16,8.35
潤弘,2597,"7,686.92",12.21,5.53,7.09,5.99
長榮,2603,"142,664.77",7.73,2.65,0.60,0.07
裕民,2606,"7,518.22",17.18,13.21,14.89,13.15
嘉里大榮,2608,"8,677.88",19.52,13.66,14.88,12.05
華航,2610,"126,302.31",10.80,2.21,0.42,0.05
中航,2612,"2,840.74",22.82,13.17,11.19,9.80
東森,2614,"2,094.53",27.47,-3.97,0.57,0.42
山隆,2616,"13,423.83",8.13,0.77,2.87,2.20
長榮航,2618,"133,705.63",12.88,5.46,3.76,2.89
台灣高鐵,2633,"35,307.60",46.09,43.63,16.98,17.42
台驊投控,2636,"8,294.54",18.00,2.57,3.01,2.38
宅配通,2642,"2,760.05",16.74,5.60,5.54,4.45
華園,2702,"1,120.74",84.76,13.94,4.01,1.03
六福,2705,"1,604.59",11.64,-23.84,-29.60,-30.75
晶華,2707,"4,831.90",33.58,19.04,25.36,21.67
夏都,2722,588.00,40.92,6.47,6.93,6.26
王品,2727,"12,431.54",44.88,4.08,3.10,2.42
寒舍,2739,"3,242.09",38.57,4.64,0.34,0.22
旺旺保,2816,"6,028.60",35.18,10.41,10.58,10.67
台產,2832,"3,935.21",40.94,17.43,17.34,14.70
新產,2850,"11,688.05",31.20,11.13,11.34,9.46
第一保,2852,"4,490.91",33.59,11.64,11.64,9.89
欣欣,2901,97.16,87.60,20.06,26.12,20.94
匯僑,2904,386.31,46.93,33.62,32.84,26.04
特力,2908,"28,994.31",27.11,2.18,-0.16,-0.10
麗嬰房,2911,"3,595.16",43.00,-9.75,-8.82,-8.22
農林,2913,222.99,41.28,-57.76,-13.04,-1.86
鼎固-KY,2923,"4,346.51",50.08,32.90,40.21,208.36
